carrier_name,shipment_count,otd_pct,avg_delay,avg_cost,total_cost
American Airlines Cargo,3747,86.87,0.71,1467.06,5497089.7
BNSF Railway,3680,87.34,0.65,1391.4,5120359.13
Coyote Logistics,3746,87.43,0.64,1400.24,5245287.64
Delta Cargo,3733,87.52,0.66,1525.53,5694801.99
FedEx Freight,3700,86.76,0.72,1458.17,5395214.82
J.B. Hunt,3695,86.85,0.63,1486.28,5491796.1
Knight-Swift,3689,87.29,0.68,1393.28,5139828.21
Maersk,3798,87.63,0.63,1363.28,5177749.26
Old Dominion Freight,3631,86.92,0.7,1653.24,6002909.49
Schneider National,3747,86.82,0.65,1518.01,5688000.15
UPS Supply Chain,3695,87.58,0.66,1458.14,5387810.0
Union Pacific Rail,3728,88.17,0.65,1604.55,5981754.93
Werner Enterprises,3736,88.44,0.58,1651.97,6171768.31
XPO Logistics,3675,87.84,0.65,1648.0,6056408.81
