shipment_year,shipment_quarter_label,total_shipments,on_time_shipments,avg_delay_days,total_transport_cost,total_fuel_cost,avg_cost_per_mile,avg_distance,total_quantity,otd_pct
2022,Q1 2022,4229,3276,1.7174272877748877,6583304.53,2163161.95,1.6860014187751242,1543.0026010877275,2149995,77.47
2022,Q2 2022,4293,3367,1.7006755182855813,5980920.04,1969901.96,1.339270906126252,1522.659678546471,2154878,78.43
2022,Q3 2022,4432,3525,1.4025270758122743,7143371.67,2384563.29,1.9829264440433212,1537.7901624548736,2237837,79.54
2022,Q4 2022,4319,3651,0.8890946978467238,6001005.63,1966434.61,1.3523940727020143,1516.5128501968047,2173868,84.53
2023,Q1 2023,4275,3819,0.407953216374269,6159442.99,1589337.63,1.599511111111111,1553.3071345029239,2131461,89.33
2023,Q2 2023,4273,3813,0.4100163819330681,6894064.63,1786061.95,1.805913877837585,1528.8958577112098,2170800,89.23
2023,Q3 2023,4431,4051,0.25976077634845407,6056444.36,1572593.95,1.5551974723538704,1507.1615888061385,2243886,91.42
2023,Q4 2023,4264,3890,0.23170731707317074,6099290.2,1577738.27,1.3898968105065668,1544.6493902439024,2167536,91.23
2024,Q1 2024,4332,3979,0.21514312096029548,6944990.18,1528412.05,1.804365189289012,1536.6295013850415,2182615,91.85
2024,Q2 2024,4356,4008,0.21694214876033058,6413518.27,1405558.2,1.5103351698806244,1514.8018824609733,2172085,92.01
2024,Q3 2024,4409,4033,0.23089135858471307,6677148.34,1477772.76,1.4059628033567704,1525.1578589249264,2229683,91.47
2024,Q4 2024,4387,4030,0.23706405288351948,7097277.7,1556308.74,1.6207590608616365,1531.6735810348757,2241415,91.86
