year,month,shipment_count,otd_pct,avg_delay,transport_cost,fuel_cost,units_sold,revenue_usd,avg_forecast_accuracy,actual_production,planned_production,total_downtime,avg_utilization
2022,1,1502,78.7,1.6498002663115845,2193819.63,725513.88,7566,380993234.0,69.79157303370786,70723,198878,1410.2,37.8931641285956
2022,2,1250,76.24,1.7656,1596835.17,529184.89,6869,344543054.0,69.92732696897374,67257,193113,1307.7,36.66506352087114
2022,3,1477,77.25,1.7454299255247123,2792649.73,908463.18,7634,386335901.0,70.03021420518603,68631,194075,1270.9,37.318573943661974
2022,4,1451,78.91,1.5975189524465885,1941556.63,645887.44,8389,417604287.0,69.71405714285714,71334,202389,1405.3,36.99951972555746
2022,5,1447,77.75,1.8624740843123704,1998618.96,655817.32,9260,457403302.0,69.99978237214364,73284,209535,1399.2,36.803956953642384
2022,6,1395,78.64,1.6401433691756273,2040744.45,668197.2,8953,443808341.0,69.65035046728971,68278,194885,1407.0,37.004049733570156
2022,7,1455,78.14,1.529209621993127,1940717.33,645542.12,10113,481038784.0,69.88459821428572,64180,185109,1196.8,36.450468164794
2022,8,1513,78.78,1.723727693324521,2510115.66,834556.83,10648,530708402.0,70.47204188481676,72850,206211,1398.3,37.06059210526316
2022,9,1464,81.69,0.944672131147541,2692538.68,904464.34,9589,464056287.0,70.37020547945205,88346,195578,704.6,45.849390681003584
2022,10,1405,83.99,0.9822064056939501,1900072.58,624193.17,11680,575749085.0,70.00095036958817,97834,217691,813.4,45.58373228346456
2022,11,1430,84.76,0.7776223776223776,1760020.54,582115.25,11024,547995997.0,70.24817679558011,92127,205682,747.5,45.2021724137931
2022,12,1484,84.84,0.9083557951482479,2340912.5100000002,760126.19,11113,541618414.0,70.1004667444574,93715,208038,725.0,45.706385135135136
2023,1,1524,90.22,0.33989501312335957,2401112.61,618894.55,8047,407908288.0,81.21240223463688,127328,200133,465.6,64.00652482269504
2023,2,1325,89.81,0.39547169811320754,1814104.25,470918.78,7362,386301320.0,81.17721674876847,126422,199968,472.6,63.542645502645506
2023,3,1426,87.94,0.49228611500701264,1944226.13,499524.3,8988,455864921.0,80.98841059602648,129130,206583,387.3,63.010684931506844
2023,4,1359,89.55,0.4260485651214128,2217682.1,570956.78,8552,436824365.0,81.1502380952381,135260,214336,462.8,63.68834130781499
2023,5,1457,89.84,0.3520933424845573,2272439.53,587868.28,9662,493542302.0,80.94002242152466,131300,207816,500.6,63.59327731092437
2023,6,1457,88.33,0.4529855868222375,2403943.0,627236.89,11532,596466409.0,80.67634297520661,135245,216372,487.7,62.9307328990228
2023,7,1491,92.15,0.24480214621059693,2140839.03,554925.48,11319,564927217.0,81.02927631578947,168880,209033,280.1,79.1091568296796
2023,8,1492,91.02,0.27211796246648795,1838721.34,479615.82,12012,590287873.0,80.6947198275862,162188,199070,265.4,79.80107394366198
2023,9,1448,91.09,0.26243093922651933,2076883.99,538052.65,10584,546315967.0,80.81101123595506,158403,194993,238.4,79.63632508833923
2023,10,1448,92.33,0.20234806629834254,2140321.21,549231.12,11878,597870295.0,80.83582417582419,176673,217446,283.6,79.29442307692308
2023,11,1378,90.78,0.22859216255442671,1850961.97,480379.54,12183,610974937.0,81.08475750577367,162292,199343,263.4,79.69411971830986
2023,12,1438,90.54,0.26425591098748263,2108007.02,548127.61,12842,655346650.0,81.02062572421785,152626,188254,218.4,79.11576363636364
2024,1,1476,91.73,0.22493224932249323,2214051.69,480297.76,9017,488221080.0,88.21134593993325,163700,198201,267.3,82.32667256637168
2024,2,1359,91.76,0.22369389256806477,2164144.73,483094.61,9254,492595406.0,87.99052396878484,156945,191598,251.5,82.01072727272728
2024,3,1497,92.05,0.19772879091516365,2566793.76,565019.68,10057,541339891.0,88.14634146341463,179022,218367,294.5,81.98570972886762
2024,4,1421,93.46,0.17804363124560169,2292619.34,499149.95,10032,531722442.0,87.96980482204363,163543,198507,291.2,82.33636209813875
2024,5,1466,91.47,0.2203274215552524,2111533.43,470997.27,11242,602160146.0,88.22406779661017,178963,216935,289.0,82.46440789473684
2024,6,1469,91.15,0.25119128658951667,2009365.5,435410.98,11347,600765507.0,87.95051546391753,167884,203439,254.9,82.62340277777778
2024,7,1479,91.68,0.20013522650439486,2339100.9,514879.51,11375,574994630.0,87.98937360178971,170181,207473,285.2,82.08264214046822
2024,8,1498,91.46,0.2409879839786382,2126582.28,477585.87,12405,644545112.0,87.93242655059846,168102,204753,290.6,82.25810490693739
2024,9,1432,91.27,0.2520949720670391,2211465.16,485307.38,11383,591973138.0,88.10279955207167,163476,198332,245.5,82.50429856115107
2024,10,1425,91.44,0.24982456140350878,2454062.19,542223.06,11663,641604893.0,88.14211123723042,160559,195621,237.6,81.99514234875444
2024,11,1437,92.0,0.2407794015309673,2454649.63,539363.64,11401,606984288.0,87.91775818639798,161333,195018,239.8,82.66110124333925
2024,12,1525,92.13,0.2216393442622951,2188565.88,474722.04,13442,693594242.0,87.6016129032258,169628,206183,267.3,82.14006711409397
