supplier_id,supplier_name,supplier_region,primary_component,effective_otd,defect_rate_pct,lead_time_days,annual_contract_value_usd,composite_risk_score,risk_score_0_100,risk_tier_calculated,recommended_action,otd_risk_score,defect_risk_score,lead_time_risk_score,concentration_risk_score,base_risk_score_component
SUP-008,Continental Ag,International - Europe,Tires & Chassis,75.14506769825918,3.83,28,230859187.58,74.82,74.8,High Risk (Orange),Corrective Action Plan Required,24.854932301740817,19.15,7.924528301886793,14.363650178753295,8.522222222222222
SUP-047,Tokai Rika,International - Asia,Switches & Locks,69.23868312757202,3.43,21,2009762.37,62.52,62.5,High Risk (Orange),Corrective Action Plan Required,30.0,17.150000000000002,5.283018867924528,0.12504385867293516,9.966666666666667
SUP-043,Samvardhana Motherson,International - Asia,Wiring Harnesses,81.92660550458716,2.76,33,203293483.09,60.02,60.0,High Risk (Orange),Corrective Action Plan Required,18.073394495412842,13.799999999999999,9.81132075471698,12.648560818976172,5.688888888888889
SUP-039,Jtekt Corporation,International - Asia,Bearings & Driveshafts,88.50141376060321,1.88,35,241086894.39,49.98,50.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,11.498586239396786,9.4,10.566037735849056,15.0,3.5111111111111115
SUP-024,Gestamp,International - Europe,Body Components,86.4186046511628,2.0,31,191596805.76,49.01,49.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.581395348837205,10.0,9.056603773584905,11.920814251109322,4.455555555555556
SUP-042,Sl Corporation,International - Asia,Lighting,79.80392156862746,2.5,25,37168046.58,48.3,48.3,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,20.19607843137254,12.5,6.792452830188679,2.312530094639293,6.499999999999999
SUP-027,Trelleborg,International - Europe,Sealing Solutions,81.80924287118977,2.51,31,32436053.13,48.09,48.1,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,18.190757128810233,12.55,9.056603773584905,2.0181138347691996,6.277777777777778
SUP-044,Minda Industries,International - Asia,Switches & Sensors,81.64383561643835,2.86,26,25325056.59,48.02,48.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,18.356164383561648,14.299999999999999,7.169811320754716,1.5756802119466715,6.622222222222223
SUP-037,Koyo Bearings,International - Asia,Bearings,83.7863167760075,3.04,30,10164527.9,46.86,46.9,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,16.213683223992504,15.2,8.679245283018869,0.6324189412525951,6.133333333333333
SUP-009,Zf Friedrichshafen,International - Europe,Transmissions,87.76908023483367,1.64,31,208040689.74,46.13,46.1,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,12.230919765166334,8.2,9.056603773584905,12.943923617232674,3.7
SUP-017,Dorman Products,Southeast,Replacement Parts,80.05698005698005,2.73,12,46520033.79,45.29,45.3,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,19.943019943019948,13.65,1.8867924528301887,2.894394191835191,6.911111111111111
SUP-030,Dana Incorporated,Southeast,Axles & Drivetrains,87.38049713193116,2.78,7,224817860.7,45.01,45.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,12.619502868068835,13.899999999999999,0.0,13.987769509547746,4.5
SUP-025,Nemak,International - Europe,Aluminum Castings,83.5010060362173,2.0,15,160214779.14,44.7,44.7,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,16.498993963782695,10.0,3.0188679245283017,9.968280080842431,5.211111111111112
SUP-029,Eaton,International - Europe,Power Management,91.2961210974456,1.24,39,205219439.05,42.34,42.3,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,8.703878902554393,6.2,12.075471698113207,12.768390391102422,2.588888888888889
SUP-020,Shiloh Industries,Southwest,Metal Stampings,79.80427046263345,2.68,10,11494336.62,42.01,42.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,20.195729537366546,13.4,1.1320754716981132,0.7151572869037363,6.566666666666667
SUP-002,Denso Corporation,International - Asia,Hvac/Thermal Systems,85.1129363449692,2.27,29,49934104.91,42.0,42.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,14.8870636550308,11.35,8.30188679245283,3.1068116562086674,4.355555555555555
SUP-040,Hyundai Mobis,International - Asia,Modules & Parts,89.90196078431373,1.76,41,82645891.26,40.0,40.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,10.09803921568627,8.799999999999999,12.830188679245282,5.14208112405558,3.133333333333333
SUP-035,Dorman Products,Northeast,Hardware & Fasteners,82.97029702970296,2.7,13,5136901.01,39.17,39.2,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,17.029702970297038,13.5,2.2641509433962264,0.31960889182699637,6.055555555555556
SUP-023,Plastic Omnium,International - Europe,Bumpers & Fuel Systems,86.78328474246841,2.57,24,40499243.66,38.99,39.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.21671525753159,12.85,6.415094339622641,2.5197912828777884,3.9888888888888885
SUP-018,Superior Industries,Southeast,Aluminum Wheels,82.48248248248248,2.65,13,9735217.91,38.92,38.9,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,17.51751751751752,13.25,2.2641509433962264,0.6057080332777188,5.277777777777778
SUP-032,Methode Electronics,Northeast,Connectors,82.96438883541867,2.74,12,955254.06,38.16,38.2,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,17.035611164581326,13.700000000000001,1.8867924528301887,0.05943421742710185,5.477777777777777
SUP-010,Valeo,International - Europe,Lighting Systems,92.87072243346007,0.73,41,201538260.28,37.79,37.8,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,7.129277566539926,3.65,12.830188679245282,12.539353961354914,1.6444444444444444
SUP-011,Faurecia,International - Europe,Interiors,90.9090909090909,1.58,23,193961234.94,37.85,37.8,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,9.090909090909093,7.9,6.037735849056603,12.067924851168017,2.7555555555555555
SUP-041,Hanon Systems,International - Asia,Thermal Systems,86.90153568202349,1.55,14,144664986.67,36.74,36.7,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.098464317976507,7.75,2.641509433962264,9.00079950650361,4.2444444444444445
SUP-014,Sensata Technologies,International - Europe,Sensors,87.86359077231694,1.95,30,28283221.28,36.7,36.7,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,12.13640922768306,9.75,8.679245283018869,1.7597319849070874,4.377777777777778
SUP-005,Aptiv,International - Europe,Electrical Systems,88.91050583657587,1.41,19,153848488.72,36.24,36.2,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,11.089494163424135,7.049999999999999,4.528301886792453,9.572180755154818,3.9999999999999996
SUP-001,Bosch Automotive,International - Europe,Electronics/Sensors,86.96479543292102,2.06,21,43224566.91,36.03,36.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.035204567078978,10.3,5.283018867924528,2.689356073421192,4.722222222222222
SUP-045,Flex-N-Gate,West,Bumpers & Lighting,91.0292728989613,1.88,5,223051308.75,35.43,35.4,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,8.970727101038705,9.4,0.0,13.877857772880992,3.1777777777777776
SUP-007,Delphi Technologies,International - Europe,Engine Management,88.07251908396947,1.47,26,81369213.64,35.38,35.4,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,11.927480916030532,7.35,7.169811320754716,5.062648501438519,3.866666666666667
SUP-046,Showa Denko,International - Asia,Aluminum Products,86.84461391801716,1.46,34,2279142.55,34.97,35.0,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.15538608198284,7.3,10.18867924528302,0.14180421684264743,4.188888888888888
SUP-034,Stoneridge,Midwest,Electronic Systems,84.1951219512195,2.15,3,37451324.55,34.55,34.6,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,15.804878048780495,10.75,0.0,2.330155148712644,5.666666666666666
SUP-050,Visteon Corporation,West,Cockpit Electronics,86.44906033630069,2.27,4,84124335.87,34.64,34.6,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.55093966369931,11.35,0.0,5.2340673317924695,4.5
