supplier_id,total_shipments,on_time_shipments,avg_delay_days,max_delay_days,total_quantity_shipped,total_shipment_value_usd,avg_transportation_cost,total_transportation_cost,total_fuel_cost,otd_pct,supplier_name,supplier_region,defect_rate_pct,reliability_score,supplier_risk_score,risk_tier,performance_tier,annual_contract_value_usd,primary_component,lead_time_days,certification_status,composite_score,performance_grade,rank
SUP-013,1057,1025,0.13434247871333965,28,530255,876259284.06,1680.6280889309367,1776423.8900000001,478152.81,96.97,Tenneco,Southwest,0.2,95.7,1.34,Low Risk,Preferred Supplier,222367121.93,Exhaust Systems,4,Iso 14001,97.56,1 - Excellent,1
SUP-022,1031,986,0.21144519883608148,27,512144,946863145.39,1480.6956547041707,1526597.22,419682.64,95.64,Martinrea International,International - Canada/Mexico,1.06,92.0,1.59,Low Risk,Preferred Supplier,78715185.91,Metal Stampings,10,Iatf 16949 + Iso 14001,95.9,1 - Excellent,2
SUP-026,1018,962,0.22396856581532418,14,510715,920168293.82,1283.5969842829077,1306701.73,355002.73,94.5,Linamar,International - Canada/Mexico,0.7,90.1,1.68,Low Risk,Preferred Supplier,50697035.05,Drivetrain,6,Iso 14001,95.06,1 - Excellent,3
SUP-006,1082,1023,0.27911275415896486,30,545502,879365372.15,1563.6918022181146,1691914.53,453641.59,94.55,Lear Corporation,West,1.12,90.4,2.1,Low Risk,Preferred Supplier,112837360.97,Seating,11,Iso 9001,95.02,1 - Excellent,4
SUP-021,1027,965,0.38266796494644595,30,516284,1012391574.34,1439.6501265822785,1478520.68,398178.87,93.96,Tower International,Southeast,0.76,87.1,2.49,Low Risk,Approved Supplier,132103702.33,Metal Stampings,8,Iso 14001,94.17,1 - Excellent,5
SUP-004,1054,986,0.40227703984819735,30,534022,872038919.13,1508.9925616698292,1590478.16,408237.99,93.55,Borgwarner,Northeast,0.72,86.1,2.36,Low Risk,Approved Supplier,197368110.54,Powertrain,12,Iso 9001,93.78,1 - Excellent,6
SUP-048,1077,996,0.5162488393686165,30,551715,950844147.67,2034.8485979572888,2191531.94,608933.37,92.48,Aisin Seiki,International - Asia,1.16,88.9,3.16,Medium Risk,Approved Supplier,57876151.74,Drivetrain,29,Iso 9001,93.67,1 - Excellent,7
SUP-036,1056,974,0.3977272727272727,30,529954,874211019.9,1254.2211079545455,1324457.49,347537.25,92.23,Nn Inc,Northeast,0.95,87.9,2.95,Low Risk,Approved Supplier,31741361.99,Precision Components,9,Iatf 16949 + Iso 14001,93.41,1 - Excellent,8
SUP-016,1068,984,0.40262172284644193,23,543760,1004787333.92,1328.2357209737827,1418555.75,378770.15,92.13,Modine Manufacturing,Southwest,1.46,88.4,2.87,Low Risk,Approved Supplier,12839965.34,Thermal Management,11,Iatf 16949 + Iso 14001,93.31,1 - Excellent,9
SUP-010,1052,977,0.39448669201520914,30,531070,861378031.19,1348.812794676806,1418951.06,380562.3,92.87,Valeo,International - Europe,0.73,84.2,2.48,Low Risk,Approved Supplier,201538260.28,Lighting Systems,41,Iso 14001,93.06,1 - Excellent,10
SUP-038,1010,934,0.43465346534653465,26,502104,781384443.61,1523.8376138613862,1539075.99,418802.72,92.48,Nsk Ltd,International - Asia,1.52,84.8,3.06,Medium Risk,Approved Supplier,48392116.45,Steering Systems,21,Iatf 16949 + Iso 14001,92.74,1 - Excellent,11
SUP-029,1057,965,0.4824976348155156,30,523650,1019741182.54,1413.1249195837277,1493673.04,402798.27,91.3,Eaton,International - Europe,1.24,85.8,3.33,Medium Risk,Approved Supplier,205219439.05,Power Management,39,As9100,92.44,1 - Excellent,12
SUP-011,1067,970,0.5670103092783505,30,556434,965886835.95,1425.840281162137,1521371.58,409490.32,90.91,Faurecia,International - Europe,1.58,85.7,3.48,Medium Risk,Approved Supplier,193961234.94,Interiors,23,Iatf 16949,92.12,1 - Excellent,13
SUP-049,946,866,0.40063424947145876,30,474666,840067632.6,1844.57644820296,1744969.32,457327.79,91.54,Panasonic Automotive,International - Asia,1.42,83.1,3.4,Medium Risk,Approved Supplier,137455604.79,Infotainment,19,Iso 9001,91.96,1 - Excellent,14
SUP-003,1023,949,0.3587487781036168,30,526853,818616077.12,1473.2468328445748,1507131.51,411756.92,92.77,Magna International,International - Canada/Mexico,0.77,78.0,3.36,Medium Risk,Conditional Supplier,154903959.21,Body & Chassis,8,Iatf 16949 + Iso 14001,91.75,1 - Excellent,15
SUP-045,1059,964,0.43059490084985835,23,533179,1018313722.19,1344.454966949953,1423777.81,392177.66,91.03,Flex-N-Gate,West,1.88,83.6,3.86,Medium Risk,Approved Supplier,223051308.75,Bumpers & Lighting,5,Iatf 16949 + Iso 14001,91.67,1 - Excellent,16
SUP-031,1042,956,0.3781190019193858,30,519340,889950028.48,1327.4703646833013,1383224.12,364438.69,91.75,American Axle,Southwest,1.59,79.3,3.39,Medium Risk,Conditional Supplier,182859141.32,Driveline Components,11,Iatf 16949 + Iso 14001,91.26,1 - Excellent,17
SUP-040,1020,917,0.5686274509803921,30,509929,956369546.15,1674.1201960784315,1707602.6,455707.1,89.9,Hyundai Mobis,International - Asia,1.76,84.0,3.82,Medium Risk,Approved Supplier,82645891.26,Modules & Parts,41,Iatf 16949,91.22,1 - Excellent,18
SUP-039,1061,939,0.5513666352497644,30,555432,967910483.74,1486.8116870876531,1577507.2,423765.26,88.5,Jtekt Corporation,International - Asia,1.88,80.6,4.16,Medium Risk,Approved Supplier,241086894.39,Bearings & Driveshafts,35,Iso 9001,89.81,2 - Good,19
SUP-007,1048,923,0.5982824427480916,22,536238,968631325.58,1828.3633874045802,1916124.83,499495.98,88.07,Delphi Technologies,International - Europe,1.47,80.1,4.48,Medium Risk,Approved Supplier,81369213.64,Engine Management,26,Iatf 16949 + Iso 14001,89.61,2 - Good,20
SUP-012,1018,919,0.44204322200392926,30,521880,911660310.63,1707.4928290766209,1738227.7,493821.26,90.28,Autoliv,International - Europe,1.49,74.5,4.19,Medium Risk,Conditional Supplier,20571795.82,Safety Systems,20,Iso 9001,89.59,2 - Good,21
SUP-005,1028,914,0.5700389105058365,25,515277,882050328.16,1392.6297373540856,1431623.3699999999,380188.12,88.91,Aptiv,International - Europe,1.41,75.4,4.6,Medium Risk,Conditional Supplier,153848488.72,Electrical Systems,19,Iatf 16949,89.11,2 - Good,22
SUP-014,997,876,0.7512537612838516,24,497023,769013486.99,1303.8827582748245,1299971.11,346408.49,87.86,Sensata Technologies,International - Europe,1.95,78.2,4.94,Medium Risk,Conditional Supplier,28283221.28,Sensors,30,Iso 9001,88.98,2 - Good,23
SUP-046,1049,911,0.6272640610104862,30,528129,881789337.23,1565.6700571973306,1642387.89,424990.23,86.84,Showa Denko,International - Asia,1.46,76.6,4.77,Medium Risk,Conditional Supplier,2279142.55,Aluminum Products,34,As9100,88.3,2 - Good,24
SUP-041,1107,962,0.7560975609756098,30,562413,913812613.72,1224.6340560072267,1355669.9,370098.33,86.9,Hanon Systems,International - Asia,1.55,76.4,4.82,Medium Risk,Conditional Supplier,144664986.67,Thermal Systems,14,Iso 14001,88.26,2 - Good,25
SUP-009,1022,897,0.6027397260273972,30,527412,885823968.86,1522.8048434442271,1556306.55,429282.15,87.77,Zf Friedrichshafen,International - Europe,1.64,73.9,4.33,Medium Risk,Conditional Supplier,208040689.74,Transmissions,31,Iso 9001,88.17,2 - Good,26
SUP-024,1075,929,0.7274418604651163,30,567496,1036665258.7,1700.7521674418606,1828308.58,485534.89,86.42,Gestamp,International - Europe,2.0,77.3,5.01,Medium Risk,Conditional Supplier,191596805.76,Body Components,31,Iatf 16949 + Iso 14001,88.07,2 - Good,27
SUP-001,1051,914,0.7725975261655567,30,528909,950225190.2,1454.6335299714558,1528819.84,418758.57,86.96,Bosch Automotive,International - Europe,2.06,75.7,5.25,Medium Risk,Conditional Supplier,43224566.91,Electronics/Sensors,21,Iso 9001,88.0,2 - Good,28
SUP-033,1096,939,0.7709854014598541,30,556736,872363761.64,1477.4475729927008,1619282.54,429660.21,85.68,Cts Corporation,West,1.96,78.4,5.44,Medium Risk,Conditional Supplier,32772082.35,Electronic Components,5,As9100,87.93,2 - Good,29
SUP-023,1029,893,0.7191448007774538,30,513593,934879533.26,1507.2114965986393,1550920.63,441937.72,86.78,Plastic Omnium,International - Europe,2.57,76.5,4.59,Medium Risk,Conditional Supplier,40499243.66,Bumpers & Fuel Systems,24,As9100,87.92,2 - Good,30
SUP-030,1046,914,0.5898661567877629,30,529826,900241436.66,1808.918671128107,1892128.93,475183.23,87.38,Dana Incorporated,Southeast,2.78,73.8,5.05,Medium Risk,Conditional Supplier,224817860.7,Axles & Drivetrains,7,Iatf 16949,87.62,2 - Good,31
SUP-050,1011,874,0.7082096933728981,30,503781,902673719.08,1654.2797230464887,1672476.8,445589.5,86.45,Visteon Corporation,West,2.27,74.8,5.05,Medium Risk,Conditional Supplier,84124335.87,Cockpit Electronics,4,Iatf 16949,87.5,2 - Good,32
SUP-019,1043,904,0.6797698945349953,30,516094,1003133470.23,1625.7044870565676,1695609.78,463951.13,86.67,Strattec Security,Midwest,2.35,72.1,5.15,Medium Risk,Conditional Supplier,11782790.55,Locks & Keys,6,As9100,87.05,2 - Good,33
SUP-015,1021,904,0.5857002938295789,30,516974,812893846.99,1704.8664152791382,1740668.61,476994.95,88.54,Gentex Corporation,Midwest,2.45,67.4,4.95,Medium Risk,Probationary Supplier,1758246.77,Mirrors & Vision,11,As9100,87.02,2 - Good,34
SUP-002,974,829,0.7227926078028748,29,504826,1003227463.89,1818.8229671457907,1771533.57,474044.43,85.11,Denso Corporation,International - Asia,2.27,73.7,4.92,Medium Risk,Conditional Supplier,49934104.91,Hvac/Thermal Systems,29,Iatf 16949,86.61,2 - Good,35
SUP-025,994,830,0.7867203219315896,30,506329,944042812.17,1420.2233098591548,1411701.97,368276.52,83.5,Nemak,International - Europe,2.0,75.8,5.69,Medium Risk,Conditional Supplier,160214779.14,Aluminum Castings,15,Iso 9001,86.31,2 - Good,36
SUP-028,1039,868,0.944177093358999,30,507402,814715825.68,1429.2524831568817,1484993.33,402786.06,83.54,Parker Hannifin,Southwest,2.05,72.9,5.8,Medium Risk,Conditional Supplier,7307286.74,Fluid Systems,12,Iatf 16949,85.74,2 - Good,37
